Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,1.1666666,1.1666666,1.1666666,1.1666666,1.1666666,1.1666666,1.1666666,1.4166666,1.4166666,1.4166666,1.4166666,1.4166666,1.4166666,1.4166666,1.4166666,1.4166666,1.4166666,1.1666666,1.1666666,1.1666666,1.6666666,1.6666666,1.6666666,1.6666666,..,..
Austria,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,..,..
Belgium,1.8452381,1.8452381,1.8452381,1.8452381,1.8452381,1.8452381,1.8452381,1.8452381,1.8452381,1.8452381,1.8452381,1.8928572,1.8928572,1.8928572,1.8928572,1.8928572,1.8928572,1.8928572,1.8928572,1.8928572,2.0833333,2.0833333,1.8928572,1.8928572,..,..
Canada,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,..,..
Chile,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.6269841,2.6269841,2.6269841,2.6269841,2.6269841,2.6269841,..,..
Czech Republic,..,..,..,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.0515873,3.0515873,3.0515873,3.0515873,3.0515873,2.9246032,2.9246032,..,..
Denmark,2.1825397,2.1825397,2.1825397,2.1825397,2.1825397,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1984127,2.1984127,2.1984127,..,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.7420635,2.7420635,1.8095238,1.8095238,1.8095238,1.8095238,..,..
Finland,2.7857141,2.7857141,2.4523809,2.4523809,2.4523809,2.4523809,2.4523809,2.3095238,2.3095238,2.3095238,2.3095238,2.3095238,2.1666667,2.1666667,2.1666667,2.1666667,2.1666667,2.1666667,2.1666667,2.1666667,2.1666667,2.1666667,2.1666667,2.1666667,..,..
France,2.34127,2.34127,2.34127,2.34127,2.34127,2.34127,2.34127,2.34127,2.34127,2.34127,2.34127,2.34127,2.34127,2.4682541,2.4682541,2.4682541,2.4682541,2.4682541,2.4682541,2.3849206,2.3849206,2.3849206,2.3849206,2.3849206,..,..
Germany,2.5833333,2.5833333,2.5833333,2.5833333,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,..,..
Greece,2.8015873,2.8015873,2.8015873,2.8015873,2.8015873,2.8015873,2.8015873,2.8015873,2.8015873,2.8015873,2.8015873,2.8015873,2.8015873,2.8015873,2.8015873,2.8015873,2.8015873,2.8015873,2.8015873,2.8015873,2.8015873,2.1666667,2.1666667,2.1190476,..,..
Hungary,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,2.0039682,1.5873016,..,..
Iceland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.7301587,1.7301587,1.7301587,1.7301587,1.7301587,1.7301587,..,..
Ireland,1.4365079,1.4365079,1.4365079,1.4365079,1.4365079,1.4365079,1.4365079,1.4365079,1.4365079,1.4365079,1.4365079,1.4365079,1.4365079,1.4365079,1.4365079,1.4365079,1.2698413,1.2698413,1.2698413,1.2698413,1.2698413,1.2698413,1.3968254,1.3968254,..,..
Israel,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0357144,2.0357144,2.0357144,2.0357144,2.0357144,2.0357144,..,..
Italy,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.7619047,2.6785715,..,..
Japan,1.7023809,1.7023809,1.7023809,1.7023809,1.7023809,1.7023809,1.7023809,1.7023809,1.7023809,1.7023809,1.7023809,1.7023809,1.7023809,1.7023809,1.7023809,1.7023809,1.7023809,1.3690476,1.3690476,1.3690476,1.3690476,1.3690476,1.3690476,1.3690476,..,..
Korea,3.0357144,3.0357144,3.0357144,3.0357144,3.0357144,3.0357144,3.0357144,3.0357144,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,..,..
Luxembourg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.2460318,2.2460318,2.2460318,2.2460318,2.2460318,2.2460318,..,..
Mexico,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.1944444,2.0277777,..,..
Netherlands,3.0430951,3.0330954,3.0214286,3.0732539,2.8965871,2.8373015,2.8373015,2.8373015,2.8373015,2.8849206,2.8849206,2.8849206,2.8849206,2.8849206,2.8849206,2.8849206,2.8849206,2.8849206,2.8849206,2.8214285,2.8214285,2.8214285,2.8214285,2.8214285,..,..
New Zealand,1.2428571,1.2428571,1.2428571,1.2428571,1.2428571,1.2428571,1.2428571,1.2428571,1.2428571,1.2428571,1.2428571,1.5595238,1.5595238,1.5595238,1.5595238,1.5595238,1.5595238,1.5595238,1.5595238,1.5595238,1.5595238,1.5595238,1.3928572,1.3928572,..,..
Norway,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,2.3333333,..,..
Poland,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,2.2301588,..,..
Portugal,4.8333335,4.8333335,4.5833335,4.5833335,4.5833335,4.5833335,4.5833335,4.5833335,4.5833335,4.5833335,4.5833335,4.5833335,4.5833335,4.5833335,4.4166665,4.4166665,4.4166665,4.4166665,4.4166665,4.4166665,4.1309524,4.1309524,3.5595238,3.1845238,..,..
Slovak Republic,..,..,..,2.4722223,2.4722223,2.4722223,2.4722223,2.4722223,2.4722223,2.4722223,2.4722223,2.4722223,2.4722223,2.3055556,2.2222223,2.2222223,2.2222223,2.2222223,2.2222223,2.2222223,2.2222223,2.2222223,1.7142857,1.8412699,..,..
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.6507936,2.6507936,2.6507936,2.6031747,2.6031747,2.6031747,2.15873,..
Spain,3.5476191,3.5476191,3.5476191,3.5476191,3.5476191,2.3571429,2.3571429,2.3571429,2.3571429,2.3571429,2.3571429,2.3571429,2.3571429,2.3571429,2.3571429,2.3571429,2.3571429,2.3571429,2.3571429,2.3571429,2.3571429,2.2142856,2.2142856,2.0476191,..,..
Sweden,2.7976191,2.7976191,2.7976191,2.7976191,2.7976191,2.7976191,2.7976191,2.7023809,2.7023809,2.6547618,2.6547618,2.6547618,2.6071429,2.6071429,2.6071429,2.6071429,2.6071429,2.6071429,2.6071429,2.6071429,2.6071429,2.6071429,2.6071429,2.6071429,..,..
Switzerland,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,1.5952381,..,..
Turkey,2.3928571,2.3928571,2.3928571,2.3928571,2.3928571,2.3928571,2.3928571,2.3928571,2.3928571,2.3928571,2.3928571,2.3928571,2.3928571,2.3928571,2.3095238,2.3095238,2.3095238,2.3095238,2.3095238,2.3095238,2.3095238,2.3095238,2.3095238,2.3095238,..,..
United Kingdom,1.0952381,1.0952381,1.0952381,1.0952381,1.0952381,1.0952381,1.0952381,1.0952381,1.0952381,1.0952381,1.2619047,1.2619047,1.2619047,1.2619047,1.2619047,1.2619047,1.2619047,1.2619047,1.2619047,1.2619047,1.2619047,1.2619047,1.2619047,1.0952381,1.0952381,..
United States,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,0.25666666,..,..
OECD countries,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.167213,2.1628945,2.1473715,2.1249626,2.0827124,2.0446055,..,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3730159,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4325397,..
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.6865079,2.6865079,..,..
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.4484127,2.4484127
Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.1428571
Argentina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.8174603,1.8174603,1.8174603,..
Bahamas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.9365079,..
Barbados,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3928572,..
Bolivia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.6428571,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.5238094
Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4325397,1.4325397,1.4325397,1.4325397,1.5277778,..,..,..
China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.2579365,3.2579365,3.2579365,3.2579365,3.2579365,..,..,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.484127
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.9087301,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.7619047,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.6785715,..
FYR of Macedonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.1428571
Guatemala,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4722222,..
Honduras,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.25,..
India,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.2857141,3.2857141,3.2857141,3.2857141,3.2857141,..,..,..
Indonesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.075397,4.075397,4.075397,4.075397,4.075397,..,..,..
Jamaica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.5753968,..
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.321428537,3.321428537
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.6666666,1.6666666,1.6666666,1.6666666,..
Malaysia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.8412697,..,..
Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.7777777,..,..
Nicaragua,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2380953,..
Panama,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.3452382,..
Paraguay,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.9880953,..
Peru,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.75,..
Russian Federation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0634921,3.0634921,3.0634921,3.0634921,3.0634921,..,..,..
Saudi Arabia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3730159,1.3730159,1.3730159,1.3730159,1.3730159,..,..,..
Serbia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.7023809
South Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.15873,2.15873,2.15873,2.15873,2.15873,..,..,..
Thailand,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.920635,2.920635,2.920635,2.920635,..
Tunisia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.5436509,..,..
Uruguay,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.718254,..
Venezuela,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.5,..
